,Comments
1148,b'19 days since lost @Apple device and @AppleSupport would not give approval to @assurant until today I was told by insurance provider. Provider blames @apple and @apple blames @assurant. Said I did not activate lost mode yet I did and device message for lost mode said PENDING.'
1149,"b'Having to take off my Apple watch to force its Siri to stop hijacking commands intended for (and only applicable to) my HomePod, is peak Siri. @AppleSupport @apple @apple'"
1150,b'@Apple @AppleSupport will the new MacBook Pro (M1 chip) ever support 2 external displays?'
1151,b'@AppleSupport : Please ask Apple maps to to bold  Cobourg Ontario Canada - at present you have placed town  of port hope over Cobourg  despite the fact that Cobourg is much larger  and is the County  seat of Northumberland https://t.co/oK7vJHHJYy'
1152,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1153,"b"".@AppleSupport hey, when are you going to fix this bug? It is incredibly embarrassing that something as basic as a File Dialog hasn't worked correctly for months in Big Sur... I'm suffering this issue EVERY SINGLE DAY https://t.co/bhjNdwoApq"""
1154,"b""@RachelTrue @Apple @AppleSupport It's Apple, what did you expect?"""
1155,"b'Unless it\xe2\x80\x99s to change your home screen look and feel, then Apple\xe2\x80\x99s all over fixing the bugs and nuances \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\nBut if you send a more complicated bug to @AppleSupport with plenty of context, they r-bomb you in the DM\xe2\x80\x99s making you question if you came on a little strong'"
1156,b'@AppleSupport my macbook pro died yesterday and now won\xe2\x80\x99t switch on at all. it\xe2\x80\x99s been on charge for a while now and still won\xe2\x80\x99t switch on. Please can you help i\xe2\x80\x99m not sure what\xe2\x80\x99s wrong with it?'
1157,b'@AppleSupport check your dms I actually need help this time with billing'
1158,b'@AppleSupport I missed this reply. So sorry. Any chance we can try and troubleshoot some more today?'
1159,"b""@AppleSupport Hello I purchased this nike watch strap about 3 weeks ago and it's turning green anything you can help with? https://t.co/eth90XAmOT"""
1160,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1161,b'I wish we could mirror flip and/or rotate our emojis when we text them out\n@Apple|@AppleSupport'
1162,"b'@AppleSupport Need one support. Please don\xe2\x80\x99t make it mandatory to save card for payment. This will help customer to avoid any undesired transaction and if someone have to buy any subscription, he/she will find a way somehow. @tim_cook'"
1163,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1164,b'@AppleSupport my macbook pro died yesterday and now won\xe2\x80\x99t switch on at all. it\xe2\x80\x99s been on charge for a while now and still won\xe2\x80\x99t switch on at all. Please can you help i\xe2\x80\x99m not sure what\xe2\x80\x99s wrong with it?'
1165,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1166,b'@AppleSupport why did my faceID randomly stop working? I try to reset my FaceID and it says it\xe2\x80\x99s unavailable?'
1167,b'@AppleSupport hi do you answer DM\xe2\x80\x99s?'
1168,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1169,b'@AppleSupport I\xe2\x80\x99ve been in hold for 14 minutes &amp; now someone has ended the call'
1170,b'@AppleSupport would be really nice if Apple could be organised &amp; be true to their promises'
1171,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1172,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1173,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1174,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1175,b'@mattverny @AppleSupport Mine seems to be ok now. Wonder what happened?'
1176,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1177,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1178,b'Thousands of kids are forced to work in cobalt mines in the DRC. Some are maimed and even killed doing this.\n\n@AppleSupport @tim_cook @lisapjackson Your products depend on cobalt. Can you guarantee that your supply chain is 100% free of child labor? Anything else is unacceptable!'
1179,b'@brilliantorg or @AppleSupport please refund my 3799 bucks which u people deducted from my account without intimation.'
1180,"b""@ResQ @Apple @AppleSupport #Apple #iphone11 #iphone11battery My Iphone11 bought in Dec'2020, battery health is dropping &amp; has come down to 95% but online support staff says it's normal. When I visited to Apple service centre, Janakpuri, ND to get it checked, (1/2)"""
1181,"b'@AppleSupport hi my Beats Studio 3 headband has broken for the 3rd time! It\xe2\x80\x99s out of warranty now, is there anything that can be done?... https://t.co/s03iSXX0xH'"
1182,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1183,"b'The education apps are becoming fraud day by day. when i have cancelled my subscription how come u autorenew and charge me Rs 3,799 @brilliantorg @Apple  And @AppleSupport do u people keep a track of peoples bank account like when the account get credited with money.'"
1184,b'RT @standupmaths: Amazing. @RachelTrue is locked out of iCloud because it\xe2\x80\x99s refusing to set lastName to be the boolean \xe2\x80\x98true\xe2\x80\x99.\n\nAnd it\xe2\x80\x99s st\xe2\x80\xa6'
1185,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1186,"b'@AppleSupport i wanna get rid of a few extra cents in my itunes account to change my country so can u pls remove it thanks , check dm i\xe2\x80\x99ve msgd you thnx'"
1187,"b""@AppleSupport can we get a refund for an app we forgot to cancel a subscription for? i ended up not liking the app and i didn't cancel it before it charged me."""
1188,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1189,b'@AppleSupport I sent you two messages but you haven\xe2\x80\x99t responded to neither.'
1190,b'@AppleSupport when will the Apple store be available with Indian currency https://t.co/yVQ4FWU3Xy'
1191,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1192,"b""@AppleSupport @apple \nHi,\n\nIs it normal to have this (kind of flare) on my pictures (taken with a 12 mini) ? \nIf find it unsightly. \n\nI don't have it with the 6s and my friend doesn't have it with the 8 https://t.co/NuG63ZdP5E"""
1193,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1194,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1195,"b""Today's scamming email is from APPLE. I am not an apple user.\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3 ... I am so tired of these assholes\nDo something!! @AppleSupport \n#ScamAlert https://t.co/LZ3zqVX240"""
1196,b'@rizwanbnt @Apple @AppleSupport Thank you'
1197,"b'@AppleSupport Hi. I have a brand new MacBook Air (received late January) and I am NOT getting the much touted 12 hour battery life, though I\xe2\x80\x99m not doing anything special with it (ie: no streaming, no gaming). Any suggestions? Thanks.'"
1198,"b'@AppleSupport I\'m afraid this turned out a valid email. This is a very poor practice IMHO. There should\'ve been at least a secure form, on https://t.co/wunKEbMOS5 domain instead of uploading the form to a ""secure"" https://t.co/eap5qdUtfY folder.'"
1199,b'@AppleSupport is it possible to swap the strap that came with my Apple Watch? I only got it a month ago and I\xe2\x80\x99ve developed an allergy to it'
1200,"b'@AppleSupport I\xe2\x80\x99m having an issue with one of my AirPods, and the best option that I could get through a chat was to be mailed a shipping box to return it. Then wait like 2 weeks to get another one in the mail. What\xe2\x80\x99s up with this? \xf0\x9f\x98\x95'"
1201,b'Dear @AppleSupport \nPlease fix the Apple Watch so that it will accurately record indoor and outdoor walks as exercise minutes. They faster my avg mile becomes the less it counts as exercise minutes. It\xe2\x80\x99s like a punishment for getting healthier. \xf0\x9f\x98\x95'
1202,b'hi @Apple @AppleSupport  You should take an action against this post. https://t.co/UqQkuOuPVH'
1203,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1204,b'@_steve2_ @AppleSupport #AppleSupport could you please help my friend Steve?'
1205,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1206,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1207,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1208,b'can u please check ur dm @AppleSupport thanks'
1209,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1210,b'Day in day out i\xe2\x80\x99m harassed by criminal scammers on @grindr and they\xe2\x80\x99re refusing to listen to our pleas to sort out their security. Maybe we should campaign to have the app blocked in the UK @Hacker0x01 @fbi @policescotland @theSNP @scotgov  @applesupport'
1211,b'RT @MillieS66512145: Profit  made by our clients\nJOIN\nhttps://t.co/QWSleOdRXC\n\n@bloomfx_signals @AppleSupport @stn_mark\n @PaperBagTML_fan @\xe2\x80\xa6'
1212,b'Disappointed wth quality of accessories of @apple 6 watch Original band broke within 2 mon of purchase Wil take 7-10 biz days 2 chk &amp; confirm by service partner in #Taiwan @AppleSupport is great 2 talk but without any soln U R left wth either buying a new strap or wait fr 10 days'
1213,"b'Dear Apple, why do you send us the same phone? If the phone has an error in processor, you should repair it. I am waiting your reply. @Apple @AppleBooks @ApplePodcasts @AppleSupport https://t.co/EF35wodjNw'"
1214,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1215,"b'@AppleSupport Hi I sent a DM, please check it.'"
1216,b'@Mr_RanveerVerma @Apple @AppleSupport @AppleNews @AppleTV Thank you'
1217,b'@raviblogger1 @Apple @AppleSupport @AppleNews @AppleTV Thank you'
1218,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1219,b'What a joke @Apple @AppleSupport you keep turning my Volume down and you tell me to talk to my speaker company https://t.co/xcYQQwW8t6'
